UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QSY,7720101,Y khoa,ĐGNL,,1200,934,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720201,Dược học,ĐGNL,,1200,884,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720501,Răng – Hàm – Mặt,ĐGNL,,1200,902,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720115,Y học cổ truyền,ĐGNL,,1200,780,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720301,Điều dưỡng,ĐGNL,,1200,641,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720101,Y khoa,THPTQG,B00,30,26.15,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720101_A,Y khoa (KHCCTA),THPTQG,B00,30,25.25,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720115,Y học cổ truyền,THPTQG,B00,30,23.75,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720115_A,Y học cổ truyền (KHCCTA),THPTQG,B00,30,22.65,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720201,Dược học,THPTQG,A00,30,25.12,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720201,Dược học,THPTQG,B00,30,25.12,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720201_A,Dược học (KHCCTA),THPTQG,A00,30,23.55,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720201_A,Dược học (KHCCTA),THPTQG,B00,30,23.55,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720301,Điều dưỡng,THPTQG,B00,30,19.65,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720501,Răng – Hàm – Mặt,THPTQG,B00,30,26.05,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
QSY,7720501_A,Răng – Hàm – Mặt (KHCCTA),THPTQG,B00,30,25.55,https://tuyensinh.uhsvnu.edu.vn/news.php?slug=-i-m-chu-n-i-h-c-ch-nh-quy-n-m-2023
