UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7440122,Khoa học Vật liệu,THPTQG,A01,30,
QST,7440122,Khoa học Vật liệu,THPTQG,B00,30,
QST,7440122,Khoa học Vật liệu,THPTQG,C01,30,
QST,7440122,Khoa học Vật liệu,THPTQG,C02,30,
QST,7440122,Khoa học Vật liệu,THPTQG,D07,30,
QST,7440122,Khoa học Vật liệu,ĐGNL,,1200,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),THPTQG,A00,30,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),THPTQG,A01,30,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),THPTQG,B00,30,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),THPTQG,C01,30,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),THPTQG,C02,30,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),THPTQG,D07,30,
QST,7440122_DKD,Khoa học Vật liệu (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",THPTQG,A00,30,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",THPTQG,A07,30,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",THPTQG,C01,30,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",THPTQG,C04,30,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",THPTQG,D01,30,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",THPTQG,D10,30,
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 100)",ĐGNL,,1200,
QST,7440228,Hải dương học,THPTQG,A00,30,
QST,7440228,Hải dương học,THPTQG,A01,30,
QST,7440228,Hải dương học,THPTQG,A02,30,
QST,7440228,Hải dương học,THPTQG,A04,30,
QST,7440228,Hải dương học,THPTQG,C01,30,
QST,7440228,Hải dương học,THPTQG,X06,30,
QST,7440228,Hải dương học,ĐGNL,,1200,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A00,30,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A01,30,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A02,30,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A04,30,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,C01,30,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,X06,30,
QST,7440228_DKD,Hải dương học (Chương trình tăng cường tiếng Anh) (dự kiến),ĐGNL,,1200,
QST,7440301,Khoa học Môi trường,THPTQG,A00,30,
QST,7440301,Khoa học Môi trường,THPTQG,B00,30,
QST,7440301,Khoa học Môi trường,THPTQG,B08,30,
QST,7440301,Khoa học Môi trường,THPTQG,D07,30,
