UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,Note,SourceUrl
QSC,7320104,Truyền thông đa phương tiện,ĐGNL,,1200,911,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-danh-gia-nang-luc-do-dhqg-hcm-chuc-nam-2025
QSC,7320104,Truyền thông đa phương tiện,THPTQG,A01,30,25,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7320104,Truyền thông đa phương tiện,THPTQG,D01,30,25,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7320104,Truyền thông đa phương tiện,THPTQG,X26,30,25,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7320104,Truyền thông đa phương tiện,THPTQG,D09,30,25,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7320104,Truyền thông đa phương tiện,THPTQG,D10,30,25,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7320104,Truyền thông đa phương tiện,THPTQG,X02,30,25,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7340122,Thương mại điện tử,ĐGNL,,1200,889,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-danh-gia-nang-luc-do-dhqg-hcm-chuc-nam-2025
QSC,7340122,Thương mại điện tử,THPTQG,A00,30,24.57,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
QSC,7340122,Thương mại điện tử,THPTQG,A01,30,24.57,,https://tuyensinh.uit.edu.vn/2025-thong-bao-diem-trung-tuyen-phuong-thuc-xet-ket-qua-thi-tot-nghiep-thpt-nam-2025
