STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7720201,Dược học
2,7720301,Điều dưỡng
3,7720501,Răng - Hàm - Mặt
4,7720115,Y học cổ truyền
5,7720101,Y khoa
