STT,Mã ngành xét tuyển,"Tên ngành/nhóm ngành, chương trình"
1,7580101,Kiến trúc (ARC)
2,7580201,Kỹ thuật và quản lý xây dựng (BCE)
3,7340101,Quản trị kinh doanh (BBA)
4,7340202,Tài chính và Kế toán (BFA)
5,7480101,Khoa học máy tính (CSE)
6,7520208,Kỹ thuật điện và máy tính (ECE)
7,7520103,Kỹ thuật cơ khí (MEN)
8,7510104,Kỹ thuật Giao thông thông minh (SME)
9,7510206,Kỹ thuật quy trình sản xuất bền vững (SPE)
10,7520114,Kỹ thuật cơ điện tử (MEC)
11,7310101,Kinh tế học (BSE)
