UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học",THPTQG,A00,30,22.00
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học",THPTQG,A01,30,22.00
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học",THPTQG,A02,30,22.00
QST,7440102_NN,"Nhóm ngành Vật lý học, Công nghệ Vật lý điện tử và tin học",THPTQG,D90,30,22.00
QST,7440228,Hải dương học,THPTQG,A00,30,19.00
QST,7440228,Hải dương học,THPTQG,A01,30,19.00
QST,7440228,Hải dương học,THPTQG,B00,30,19.00
QST,7440228,Hải dương học,THPTQG,D07,30,19.00
QST,7440112,Hóa học,THPTQG,A00,30,24.50
QST,7440112,Hóa học,THPTQG,B00,30,24.50
QST,7440112,Hóa học,THPTQG,D07,30,24.50
QST,7440112,Hóa học,THPTQG,D90,30,24.50
QST,7440112_CLC,Hóa học (CT Chất lượng cao),THPTQG,A00,30,24.20
QST,7440112_CLC,Hóa học (CT Chất lượng cao),THPTQG,B00,30,24.20
QST,7440112_CLC,Hóa học (CT Chất lượng cao),THPTQG,D07,30,24.20
QST,7440112_CLC,Hóa học (CT Chất lượng cao),THPTQG,D90,30,24.20
QST,7440122,Khoa học Vật liệu,THPTQG,A00,30,17.00
QST,7440122,Khoa học Vật liệu,THPTQG,A01,30,17.00
QST,7440122,Khoa học Vật liệu,THPTQG,B00,30,17.00
QST,7440122,Khoa học Vật liệu,THPTQG,D07,30,17.00
QST,7440201,Địa chất học,THPTQG,A00,30,17.00
QST,7440201,Địa chất học,THPTQG,A01,30,17.00
QST,7440201,Địa chất học,THPTQG,B00,30,17.00
QST,7440201,Địa chất học,THPTQG,D07,30,17.00
QST,7440301,Khoa học Môi trường,THPTQG,A00,30,17.00
QST,7440301,Khoa học Môi trường,THPTQG,B00,30,17.00
QST,7440301,Khoa học Môi trường,THPTQG,B08,30,17.00
QST,7440301,Khoa học Môi trường,THPTQG,D07,30,17.00
QST,7440301_CLC,Khoa học Môi trường (CT Chất lượng cao),THPTQG,A00,30,17.00
QST,7440301_CLC,Khoa học Môi trường (CT Chất lượng cao),THPTQG,B00,30,17.00
QST,7440301_CLC,Khoa học Môi trường (CT Chất lượng cao),THPTQG,B08,30,17.00
