UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QST,7440122_DKD,Khoa học Vật liệu (CT TCTA),THPTQG,A01,30,21.85,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440122_DKD,Khoa học Vật liệu (CT TCTA),THPTQG,B00,30,22.10,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440122_DKD,Khoa học Vật liệu (CT TCTA),THPTQG,C01,30,23.35,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440122_DKD,Khoa học Vật liệu (CT TCTA),THPTQG,D07,30,21.35,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",THPTQG,A00,30,22.30,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",THPTQG,A01,30,21.05,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",THPTQG,B00,30,21.19,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",THPTQG,C01,30,22.55,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",THPTQG,D01,30,20.71,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",THPTQG,D07,30,20.46,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440228,Hải dương học,THPTQG,A00,30,22.40,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440228,Hải dương học,THPTQG,A01,30,21.15,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440228,Hải dương học,THPTQG,C01,30,22.65,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301,Khoa học Môi trường,THPTQG,A00,30,21.20,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301,Khoa học Môi trường,THPTQG,A01,30,20.06,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301,Khoa học Môi trường,THPTQG,B00,30,19.95,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301,Khoa học Môi trường,THPTQG,C01,30,21.81,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301,Khoa học Môi trường,THPTQG,D07,30,19.39,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),THPTQG,A00,30,19.00,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),THPTQG,A01,30,18.00,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),THPTQG,B00,30,17.60,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),THPTQG,C01,30,20.00,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),THPTQG,D07,30,17.00,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,A00,30,26.61,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,A01,30,25.36,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,B00,30,25.66,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,D01,30,24.66,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",THPTQG,D07,30,25.11,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
