UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,75202a1,Thiết kế vi mạch,THPTQG,C01,30,27.77
QST,75202a1,Thiết kế vi mạch,THPTQG,D07,30,27.36
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A00,30,25.95
QST,7520402,Kỹ thuật hạt nhân,THPTQG,A01,30,24.70
QST,7520402,Kỹ thuật hạt nhân,THPTQG,C01,30,25.70
QST,7520403,Vật lý y khoa,THPTQG,A00,30,26.13
QST,7520403,Vật lý y khoa,THPTQG,A01,30,24.88
QST,7520403,Vật lý y khoa,THPTQG,C01,30,25.84
QST,7520501,Kỹ thuật địa chất,THPTQG,A00,30,22.70
QST,7520501,Kỹ thuật địa chất,THPTQG,A01,30,21.45
QST,7520501,Kỹ thuật địa chất,THPTQG,B00,30,21.45
QST,7520501,Kỹ thuật địa chất,THPTQG,C01,30,22.95
QST,7520501,Kỹ thuật địa chất,THPTQG,D01,30,21.15
QST,7520501,Kỹ thuật địa chất,THPTQG,D07,30,20.90
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,A00,30,22.00
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,A01,30,20.75
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,B00,30,20.75
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,C01,30,22.25
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,D07,30,20.25
QST,7140103,Công nghệ giáo dục,ĐGNL,,1200,797
QST,7420101,Sinh học,ĐGNL,,1200,696
QST,7420101_DKD,Sinh học (CT TCTA),ĐGNL,,1200,673
QST,7420201,Công nghệ Sinh học,ĐGNL,,1200,817
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),ĐGNL,,1200,800
QST,7440102_DKD,Vật lý học (CT TCTA),ĐGNL,,1200,804
QST,7440102_NN,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",ĐGNL,,1200,917
QST,7440112,Hóa học,ĐGNL,,1200,886
QST,7440112_DKD,Hóa học (CT TCTA),ĐGNL,,1200,797
QST,7440122,Khoa học Vật liệu,ĐGNL,,1200,790
QST,7440122_DKD,Khoa học Vật liệu (CT TCTA),ĐGNL,,1200,742
QST,7440201_NN,"Nhóm ngành Địa chất học (CT: 40), Kinh tế đất đai (CT: 50)",ĐGNL,,1200,707
QST,7440228,Hải dương học,ĐGNL,,1200,711
QST,7440301,Khoa học Môi trường,ĐGNL,,1200,658
QST,7440301_DKD,Khoa học Môi trường (CT TCTA),ĐGNL,,1200,573
QST,7460101_NN,"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",ĐGNL,,1200,910
QST,7460108_NN,"Nhóm ngành Khoa học dữ liệu (CT:80), Thống kê (CT:40)",ĐGNL,,1200,1019
QST,7480101_TT,Khoa học máy tính (CT Tiên tiến),ĐGNL,,1200,1136
QST,7480107,Trí tuệ nhân tạo,ĐGNL,,1200,1092
QST,7480201_DKD,Công nghệ thông tin (CT TCTA),ĐGNL,,1200,906
QST,7480201_NN,Nhóm ngành máy tính và Công nghệ thông tin (Công nghệ thông tin; Kỹ thuật phần mềm; Hệ thống thông tin; Khoa học máy tính),ĐGNL,,1200,972
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (CT TCTA),ĐGNL,,1200,842
QST,7510402,Công nghệ Vật liệu,ĐGNL,,1200,832
QST,7510406,Công nghệ Kỹ thuật Môi trường,ĐGNL,,1200,673
QST,7520207,Kỹ thuật điện tử - viễn thông,ĐGNL,,1200,910
QST,7520207_DKD,Kỹ thuật điện tử - viễn thông (CT TCTA),ĐGNL,,1200,864
QST,75202a1,Thiết kế vi mạch,ĐGNL,,1200,1002
QST,7520402,Kỹ thuật hạt nhân,ĐGNL,,1200,876
QST,7520403,Vật lý y khoa,ĐGNL,,1200,882
QST,7520501,Kỹ thuật địa chất,ĐGNL,,1200,723
QST,7850101,Quản lý tài nguyên và môi trường,ĐGNL,,1200,693
