Mã trường,Mã ngành xét tuyển,Tên ngành,Phương thức,Tổ hợp,Thang điểm,Điểm
DKB,7480103,Kỹ thuật phần mềm,THPTQG,D01,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X02,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X03,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X06,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X07,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X26,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X27,30,14.00
DKB,7480103,Kỹ thuật phần mềm,THPTQG,X56,30,14.00
DKB,7480103,Kỹ thuật phần mềm,ĐGNL,,1200,466
DKB,7340301,Kế toán,THPTQG,A00,30,14.00
DKB,7340301,Kế toán,THPTQG,A01,30,14.00
DKB,7340301,Kế toán,THPTQG,C01,30,14.00
DKB,7340301,Kế toán,THPTQG,C14,30,14.00
DKB,7340301,Kế toán,THPTQG,D01,30,14.00
DKB,7340301,Kế toán,THPTQG,D07,30,14.00
DKB,7340301,Kế toán,THPTQG,D10,30,14.00
DKB,7340301,Kế toán,THPTQG,D84,30,14.00
DKB,7340301,Kế toán,THPTQG,X03,30,14.00
DKB,7340301,Kế toán,THPTQG,X26,30,14.00
DKB,7340301,Kế toán,THPTQG,Y08,30,14.00
DKB,7340301,Kế toán,ĐGNL,,1200,466
DKB,7340201,Tài chính - Ngân hàng,THPTQG,A00,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,A01,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,C01,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,C14,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,D01,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,D07,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,D10,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,D84,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,X03,30,14.00
DKB,7340201,Tài chính - Ngân hàng,THPTQG,X26,30,14.00
