UniCodes,Name,Address,Note,RegistrationUrl
"QSB, QST, QSX, QSK, QSQ, QSC, QSY, NLS, DKC, UTE, FPT, KTS, NTT, NHS, MBS, UEF
",KTX Khu B - ĐHQG TP.HCM,"Đường Mạc Đĩnh Chi, Khu phố Tân Hòa, Phường Đông Hòa, Thành phố Hồ Chí Minh.",,https://ktxhcm.edu.vn
"QSB, QST, QSX, QSK, QSQ, QSC, QSY

",KTX Khu A - ĐHQG TP.HCM,"Đường Tạ Quang Bửu, Khu phố 33, Phường Linh Xuân, TP. Hồ Chí Minh.",,https://ktxhcm.edu.vn
