No.,Name,OldName,EnglishName,ShortName,Code,Type,IsFinanciallyAutonomous,ImageUrl,HasDormitory
41,Học viện Thanh Thiếu niên Việt Nam Phân hiệu Thành phố Hồ Chí Minh,,Vietnam Youth Academy,VYA,HTN,0,0,/universities-logo/vya.webp,0
42,"Trường Đại học Quốc tế RMIT Việt Nam
",,The Royal Melbourne Institute of Technology Vietnam,RMIT,RMU,1,1,/universities-logo/rmit.svg,1
43,"Trường Đại học Fulbright Việt Nam
",,Fulbright University Vietnam,FUV,,1,1,/universities-logo/fuv.png,0
44,Trường Đại học FPT,,FPT University,FPT,FPT,1,1,/universities-logo/fpt.png,1
45,Trường Đại học Văn Lang,,Van Lang University,VLU,DVL,1,1,/universities-logo/vlu.jpg,1
46,Trường Đại học Hoa Sen,,Hoa Sen University,HSU,HSU,1,1,/universities-logo/hsu.webp,0
47,Trường Đại học Công nghệ Sài Gòn,,Saigon Technology University,STU,DSG,1,1,/universities-logo/stu.png,1
48,Trường Đại học Văn Hiến,,Van Hien University,VHU,DVH,1,1,/universities-logo/vhu.png,0
49,Trường Đại học Ngoại Ngữ – Tin Học Thành Phố Hồ Chí Minh,,Ho Chi Minh City University of Foreign Languages – Information Technology,HUFLIT,DNT,1,1,/universities-logo/huflit.png,1
50,Trường Đại học Công nghệ Thành phố Hồ Chí Minh,,University of Technology,HUTECH,DKC,1,1,/universities-logo/hutech.png,1
51,Trường Đại học Kinh tế - Tài chính thành phố Hồ Chí Minh,,Ho Chi Minh City University of Economics and Finance,UEF,UEF,1,1,/universities-logo/uef.png,0
52,Trường Đại học Quốc tế Hồng Bàng,,Hong Bang International University,HIU,HIU,1,1,/universities-logo/hiu.png,0
53,Trường Đại học Nguyễn Tất Thành,,Nguyen Tat Thanh University,NTTU,NTT,1,1,/universities-logo/nttu.jpg,1
54,Trường Đại học Tư thục Quốc tế Sài Gòn,,The Saigon International University,SIU,SIU,1,1,/universities-logo/siu.jpg,0
55,Trường Đại học Gia Định,,Gia Dinh University,GDU,GDU,1,1,/universities-logo/gdu.png,1
56,Trường Đại học Quốc tế Miền Đông,,Eastern International University,EIU,EIU,1,1,/universities-logo/eiu.png,1
57,Trường Đại học Quản lý và Công nghệ TP.HCM,,Ho Chi Minh City University of Management and Technology,UMT,UMT,1,1,/universities-logo/umt.jpeg,0
58,Trường Đại học Hùng Vương TP.HCM,,Hung Vuong University of Ho Chi Minh City,DHV,DHV,1,1,/universities-logo/dhv.png,0
59,Trường Đại học Bà Rịa - Vũng Tàu,,Ba Ria Vung Tau University,BVU,BVU,1,1,/universities-logo/bvu.png,1
60,Trường Đại học Bình Dương,,Binh Duong University,BDU,DBD,1,1,/universities-logo/bdu.jpg,0
61,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,,Binh Duong Economics and Technology University,BETU,DKB,1,1,/universities-logo/betu.jpg,1
62,Học Viện Kỹ Thuật Quân Sự - Cơ sở phía Nam ,,Military Technical Academy,MTA,KQH,0,0,/universities-logo/mta.png,0
63,Trường Đại học An ninh nhân dân (Thành phố Hồ Chí Minh),,People's Security University,VPSU,ANS,0,0,/universities-logo/annd.png,
64,Trường Đại học Trần Đại Nghĩa,,Tran Dai Nghia University,TDNU,ZPH,0,0,/universities-logo/tdnu.png,
65,Trường Đại học Cảnh sát Nhân dân,,Vietnam People's Police University,VPPU,CCS,0,0,/universities-logo/csnd.png,
