No.,Name,OldName,EnglishName,ShortName,Code,Type,IsFinanciallyAutonomous,ImageUrl
43,Trường Đại học Thủ Dầu Một,,Thu Dau Mot University,TDMU,TDM,0,,/universities-logo/tdmu
44,Trường Đại học Y Dược Thành phố Hồ Chí Minh,,University of Medicine and Pharmacy at Ho Chi Minh City,UMP,YDS,0,,/universities-logo/ump.svg
45,Trường Đại học Y khoa Phạm Ngọc Thạch,,Pham Ngoc Thach University of Medicine,PNT,TYS,0,,/universities-logo/pnt.png
46,Học viện Cán bộ Thành phố Hồ Chí Minh,,Ho Chi Minh City Cadre Academy,HCA,HVC,0,,/universities-logo/hca.jpg
47,Học viện Hàng không Việt Nam,,Vietnam Aviation Academy,VAA,HHK,0,,/universities-logo/vaa.svg
48,Học viện Kỹ thuật Quân sự (cơ sở 3),,Military Technical Academy,MTA,KQH,0,,/universities-logo/mta.png
49,Nhạc viện Thành phố Hồ Chí Minh,,"Conservatory of Ho Chi Minh City
Ho Chi Minh Conservatory of Music",HCMCONS,NVS,0,,/universities-logo/hcmcons.jpg
50,Học viện Thanh Thiếu niên Việt Nam Phân hiệu Thành phố Hồ Chí Minh,,Vietnam Youth Academy,VYA,HTN,0,,/universities-logo/vya.webp
51,Trường Đại học Ngoại Ngữ – Tin Học Thành Phố Hồ Chí Minh,,Ho Chi Minh City University of Foreign Languages – Information Technology,HUFLIT,DNT,1,1,/universities-logo/huflit.png
52,Trường Đại học Văn Lang,,Van Lang University,VLU,DVL,1,1,/universities-logo/vlu.jpg
53,Trường Đại học Công nghệ Thành phố Hồ Chí Minh,,University of Technology,HUTECH,DKC,1,1,/universities-logo/hutech.png
54,Trường Đại học Quốc tế Hồng Bàng,,Hong Bang International University,HIU,HIU,1,1,/universities-logo/hiu.png
55,Trường Đại học FPT,,FPT University,FPT,FPT,1,1,/universities-logo/fpt.png
56,Trường Đại học Kinh tế - Tài chính thành phố Hồ Chí Minh,,Ho Chi Minh City University of Economics and Finance,UEF,UEF,1,1,/universities-logo/uef.png
57,Trường Đại học Tư thục Quốc tế Sài Gòn,,The Saigon International University,SIU,SIU,1,1,/universities-logo/siu.jpg
58,Trường Đại học Quản lý và Công nghệ TP.HCM,,Ho Chi Minh City University of Management and Technology,UMT,UMT,1,1,/universities-logo/umt.jpeg
59,Đại học Kinh tế Thành phố Hồ Chí Minh,,University of Economics Ho Chi Minh City,UEH,KSA,0,,"/universities-logo/ueh.png
"
60,"Trường Đại học Quốc tế RMIT Việt Nam
",,The Royal Melbourne Institute of Technology Vietnam,RMIT,RMU,1,1,/universities-logo/rmit.svg
61,"Trường Đại học Fulbright Việt Nam
",,Fulbright University Vietnam,FUV,,1,1,/universities-logo/fuv.png
62,Trường Đại học Quốc tế Miền Đông,,Eastern International University,EIU,EIU,1,1,/universities-logo/eiu.png
63,Trường Đại học Bà Rịa - Vũng Tàu,,Ba Ria Vung Tau University,BVU,BVU,1,1,/universities-logo/bvu.png
64,Trường Đại học Bình Dương,,Binh Duong University,BDU,DBD,1,1,/universities-logo/bdu.jpg
65,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,,Binh Duong Economics and Technology University,BETU,DKB,1,1,/universities-logo/betu.jpg
